Date,Open,High,Low,Close,Volume
07/11/2022,"75.20","76.25","75.20","75.74","856,718"
07/08/2022,"75.50","76.33","75.17","75.85","1,231,395"
07/07/2022,"75.83","76.44","75.15","76.03","1,501,936"
07/06/2022,"76.78","77.31","75.27","75.37","2,055,200"
07/05/2022,"74.45","76.47","74.13","76.47","1,681,946"
07/01/2022,"73.18","75.84","73.18","75.69","1,591,557"
06/30/2022,"72.69","75.05","71.98","73.61","1,945,100"
06/29/2022,"73.40","73.78","72.38","73.68","2,154,580"
06/28/2022,"74.67","75.43","73.30","73.46","1,618,267"
06/27/2022,"73.47","74.62","72.71","73.87","1,674,731"
06/24/2022,"72.35","73.54","71.89","73.13","4,312,060"
06/23/2022,"71.53","72.09","71.18","71.77","1,993,152"
06/22/2022,"70.15","71.81","70.00","71.13","2,808,709"
06/21/2022,"71.28","71.76","70.02","71.04","3,006,939"
06/17/2022,"68.92","70.87","68.39","70.16","5,839,413"
06/16/2022,"68.27","69.60","67.68","68.15","2,615,946"
06/15/2022,"71.51","72.39","70.48","71.40","2,976,536"
06/14/2022,"70.13","71.12","69.76","70.58","2,534,374"
06/13/2022,"71.13","71.81","69.44","70.00","2,915,810"
06/10/2022,"73.80","74.50","72.92","73.35","1,959,630"
06/09/2022,"77.50","77.58","75.10","75.16","1,822,505"
06/08/2022,"79.89","80.25","77.90","78.35","1,202,072"
06/07/2022,"80.07","80.75","79.42","80.67","2,204,790"
06/06/2022,"80.68","81.30","80.09","80.73","1,645,796"
06/03/2022,"81.24","81.31","79.39","79.90","1,285,907"
06/02/2022,"79.60","82.49","79.44","82.49","1,373,055"
06/01/2022,"83.16","83.16","79.54","79.59","2,042,937"
05/31/2022,"83.52","83.87","82.39","82.84","3,583,479"
05/27/2022,"82.71","84.33","82.52","84.05","1,855,210"
05/26/2022,"79.95","82.31","79.65","81.93","2,500,125"
05/25/2022,"78.24","80.49","78.23","79.28","2,772,000"
05/24/2022,"79.58","79.74","76.35","78.82","2,320,526"
05/23/2022,"80.05","80.65","78.30","80.27","1,453,510"
05/20/2022,"81.13","81.21","77.56","78.97","2,405,434"
05/19/2022,"78.31","80.98","78.28","79.91","2,533,725"
05/18/2022,"81.26","82.33","78.56","79.01","2,686,756"
05/17/2022,"81.56","82.71","80.77","82.65","2,394,557"
05/16/2022,"80.59","80.86","79.04","79.83","2,186,704"
05/13/2022,"79.29","81.19","78.73","80.80","2,156,362"
05/12/2022,"77.72","78.66","76.98","78.33","2,474,132"
05/11/2022,"78.55","79.81","77.56","78.09","2,301,292"
05/10/2022,"80.36","81.04","77.16","78.54","2,561,243"
05/09/2022,"80.50","81.75","78.96","79.51","2,457,555"
05/06/2022,"81.45","83.11","80.21","81.22","2,750,601"
05/05/2022,"84.32","85.96","81.19","81.77","2,823,473"
05/04/2022,"83.40","85.58","82.22","85.57","2,079,598"
05/03/2022,"82.30","84.26","81.88","83.58","1,989,927"
05/02/2022,"83.52","84.09","80.43","82.44","1,699,393"
04/29/2022,"85.02","85.99","82.87","83.04","2,192,078"
04/28/2022,"84.08","85.97","83.30","85.61","1,441,725"
04/27/2022,"82.93","84.23","82.62","82.93","1,862,498"
04/26/2022,"83.81","84.02","82.63","82.64","1,738,083"
04/25/2022,"83.64","84.87","82.84","84.66","2,058,803"
04/22/2022,"86.43","86.52","84.41","84.57","2,010,920"
04/21/2022,"88.73","89.76","86.34","86.54","1,558,463"
04/20/2022,"86.95","88.59","86.63","87.63","2,807,867"
04/19/2022,"85.81","87.37","85.69","86.46","3,408,493"
04/18/2022,"85.42","86.37","85.14","85.64","1,707,894"
