Date,Open,High,Low,Close,Volume
07/11/2022,"14.92","15.18","14.92","15.09","432,927"
07/08/2022,"15.07","15.20","14.88","15.12","425,450"
07/07/2022,"14.90","15.40","14.85","15.16","768,948"
07/06/2022,"15.65","15.83","14.82","14.90","995,104"
07/05/2022,"15.31","15.86","15.30","15.79","1,083,793"
07/01/2022,"15.12","15.70","14.99","15.69","956,283"
06/30/2022,"14.79","15.34","14.58","15.24","1,438,864"
06/29/2022,"15.12","15.12","14.81","15.03","804,609"
06/28/2022,"15.34","15.54","15.03","15.13","913,400"
06/27/2022,"15.33","15.58","15.13","15.16","857,162"
06/24/2022,"15.05","15.45","15.05","15.21","2,862,199"
06/23/2022,"14.78","15.13","14.76","14.99","829,019"
06/22/2022,"14.66","15.12","14.55","14.76","1,748,505"
06/21/2022,"15.07","15.22","14.87","14.92","932,745"
06/17/2022,"14.16","14.91","14.16","14.77","1,470,108"
06/16/2022,"14.52","14.52","13.90","14.05","1,357,374"
06/15/2022,"14.88","15.16","14.68","14.81","917,998"
06/14/2022,"14.57","14.80","14.48","14.66","1,712,548"
06/13/2022,"15.26","15.39","14.54","14.61","1,958,332"
06/10/2022,"16.11","16.35","15.75","15.78","729,381"
06/09/2022,"16.79","16.88","16.41","16.45","954,809"
06/08/2022,"17.56","17.68","16.80","16.98","1,587,384"
06/07/2022,"17.65","17.83","17.41","17.78","1,014,217"
06/06/2022,"17.99","18.02","17.61","17.86","1,185,912"
06/03/2022,"17.89","18.01","17.44","17.67","1,066,274"
06/02/2022,"18.01","18.18","17.62","18.16","1,616,609"
06/01/2022,"18.64","18.87","18.03","18.10","1,214,201"
05/31/2022,"18.91","18.95","18.52","18.67","2,192,124"
05/27/2022,"18.67","19.15","18.57","19.15","662,106"
05/26/2022,"18.07","18.60","18.01","18.45","696,819"
05/25/2022,"17.55","18.17","17.55","17.87","849,187"
05/24/2022,"17.77","17.92","16.73","17.59","936,490"
05/23/2022,"17.86","18.04","17.51","17.97","852,773"
05/20/2022,"18.31","18.43","17.28","17.66","708,454"
05/19/2022,"17.87","18.29","17.85","18.08","694,142"
05/18/2022,"18.58","18.75","17.70","17.86","739,019"
05/17/2022,"18.75","18.76","18.33","18.74","633,996"
05/16/2022,"18.04","18.43","17.82","18.22","670,749"
05/13/2022,"17.80","18.49","17.78","18.20","784,952"
05/12/2022,"17.42","17.72","17.11","17.63","1,543,455"
05/11/2022,"17.65","17.93","17.34","17.44","1,329,513"
05/10/2022,"17.72","18.07","17.06","17.62","1,505,743"
05/09/2022,"18.04","18.30","17.52","17.59","1,098,162"
05/06/2022,"18.62","19.15","17.92","18.22","1,774,295"
05/05/2022,"18.49","18.63","17.86","18.19","1,626,357"
05/04/2022,"18.27","18.78","17.92","18.74","1,174,470"
05/03/2022,"17.72","18.36","17.60","18.28","888,317"
05/02/2022,"17.92","18.17","17.43","17.81","1,139,436"
04/29/2022,"18.13","18.33","17.80","17.90","871,427"
04/28/2022,"17.96","18.35","17.71","18.20","438,641"
04/27/2022,"17.77","18.08","17.68","17.76","621,446"
04/26/2022,"18.02","18.08","17.67","17.75","838,189"
04/25/2022,"18.15","18.40","17.97","18.29","678,940"
04/22/2022,"18.64","18.67","18.21","18.34","841,177"
04/21/2022,"19.15","19.50","18.60","18.71","769,090"
04/20/2022,"19.33","19.51","19.09","19.09","378,819"
04/19/2022,"18.64","19.24","18.64","19.07","473,639"
