Date,Open,High,Low,Close,Volume
07/11/2022,"172.48","175.29","172.31","173.45","240,807"
07/08/2022,"173.69","175.36","170.51","174.44","271,962"
07/07/2022,"174.50","176.86","172.94","175.04","270,186"
07/06/2022,"179.91","182.14","172.71","173.04","401,118"
07/05/2022,"176.83","181.62","175.91","180.63","393,082"
07/01/2022,"173.93","181.70","173.93","181.17","305,767"
06/30/2022,"172.13","178.87","171.37","174.86","675,012"
06/29/2022,"176.68","177.57","174.42","176.63","295,287"
06/28/2022,"178.89","180.87","176.40","176.86","327,532"
06/27/2022,"176.36","179.12","173.82","176.68","299,118"
06/24/2022,"172.60","175.56","171.97","175.46","432,961"
06/23/2022,"171.15","173.56","170.92","171.45","483,854"
06/22/2022,"167.02","173.11","167.02","170.44","456,961"
06/21/2022,"170.49","172.58","167.24","169.52","643,332"
06/17/2022,"160.42","168.53","156.09","167.02","1,310,050"
06/16/2022,"160.19","161.34","154.63","155.76","495,501"
06/15/2022,"167.51","169.74","164.42","166.08","735,453"
06/14/2022,"163.68","165.82","161.79","165.30","450,845"
06/13/2022,"167.07","168.24","161.02","162.45","555,090"
06/10/2022,"174.70","177.16","171.25","172.38","334,366"
06/09/2022,"182.83","183.93","177.87","177.96","286,480"
06/08/2022,"187.65","189.39","184.77","185.07","320,335"
06/07/2022,"187.00","192.01","187.00","190.28","325,385"
06/06/2022,"190.46","191.31","187.90","189.10","392,198"
06/03/2022,"192.30","192.30","187.08","188.81","308,651"
06/02/2022,"187.95","195.96","186.46","195.15","487,828"
06/01/2022,"198.40","199.01","186.96","187.63","533,418"
05/31/2022,"199.02","200.82","196.29","197.32","516,740"
05/27/2022,"198.02","202.38","197.66","201.78","321,813"
05/26/2022,"190.66","196.13","189.76","195.33","276,423"
05/25/2022,"186.23","190.34","186.17","188.59","350,391"
05/24/2022,"187.39","187.63","180.30","186.92","303,093"
05/23/2022,"189.38","191.46","183.68","189.71","331,418"
05/20/2022,"191.28","191.40","182.71","186.59","265,188"
05/19/2022,"186.07","191.64","186.07","188.78","311,923"
05/18/2022,"196.24","197.74","186.91","187.65","300,743"
05/17/2022,"199.32","199.32","193.93","198.83","276,286"
