date,spx,cwk,cbre,jll,spxChange,cwkChange,cbreChange,jllChange
"January 3, 2022","4,796.56",22.31,108.67,267.83,0.003855057,-0.001789709,-0.006218564,-0.014642581
"January 4, 2022","4,793.54",22.61,110.3,274.36,0.003223011,0.01163311,0.0086877,0.009381553
"January 5, 2022","4,700.58",21.82,106.72,262.05,-0.016232258,-0.023713647,-0.024051212,-0.035907435
"January 6, 2022","4,696.05",22,105.71,259,-0.017180325,-0.015659955,-0.033287609,-0.047128509
"January 7, 2022","4,677.03",21.72,104.78,257.63,-0.021160954,-0.028187919,-0.04179241,-0.052168794
"January 10, 2022","4,670.29",21.4,103.4,252.9,-0.022571545,-0.042505593,-0.054412437,-0.069570656
"January 11, 2022","4,713.07",21.9,105.28,259.99,-0.01361827,-0.020134228,-0.037219936,-0.043486259
"January 12, 2022","4,726.35",22.04,106.48,262.45,-0.010838946,-0.013870246,-0.026245999,-0.034435819
"January 13, 2022","4,659.03",22.2,105.68,260.92,-0.02492811,-0.006711409,-0.033561957,-0.040064751
"January 14, 2022","4,662.85",21.8,103.83,254.68,-0.024128636,-0.024608501,-0.05048011,-0.063021964
"January 18, 2022","4,577.11",21.42,101.41,249.84,-0.042072857,-0.041610738,-0.072610882,-0.08082852
"January 19, 2022","4,532.76",20.93,98.89,243.28,-0.051354711,-0.063534676,-0.09565615,-0.104963026
"January 20, 2022","4,482.73",20.75,99.71,244.51,-0.061825313,-0.071588367,-0.088157293,-0.100437806
"January 21, 2022","4,397.94",21.3,101.51,245.77,-0.079570712,-0.046979866,-0.071696388,-0.095802215
"January 24, 2022","4,410.13",21.76,100.75,249.35,-0.07701951,-0.02639821,-0.078646548,-0.08263125
"January 25, 2022","4,356.45",20.52,95.86,241,-0.088254007,-0.081879195,-0.123365341,-0.113351238
"January 26, 2022","4,349.93",20.66,96.72,240.96,-0.089618555,-0.075615213,-0.115500686,-0.1134984
"January 27, 2022","4,326.51",20.15,95.37,237.48,-0.094520043,-0.098434004,-0.127846365,-0.126301461
"January 28, 2022","4,431.85",20.46,98.33,242.87,-0.072473808,-0.084563758,-0.100777321,-0.106471432
"January 31, 2022","4,515.55",20.99,101.34,250.79,-0.054956531,-0.060850112,-0.073251029,-0.077333431
"February 1, 2022","4,546.54",21.19,101.53,252.33,-0.048470744,-0.051901566,-0.071513489,-0.071667709
"February 2, 2022","4,589.38",21.59,103.23,254.91,-0.039504912,-0.034004474,-0.055967078,-0.062175785
"February 3, 2022","4,477.44",21.46,102.12,254,-0.062932438,-0.039821029,-0.06611797,-0.065523711
"February 4, 2022","4,500.53",21.21,101.23,250.56,-0.058100014,-0.051006711,-0.074256973,-0.078179611
"February 7, 2022","4,483.87",21.46,102.19,250.85,-0.061586726,-0.039821029,-0.065477824,-0.077112689
"February 8, 2022","4,521.54",21.68,103.84,253.13,-0.053702905,-0.029977629,-0.05038866,-0.068724477
"February 9, 2022","4,587.18",22.18,106,262.22,-0.039965342,-0.007606264,-0.030635574,-0.035281998
"February 10, 2022","4,504.08",22.17,104.21,257.35,-0.057357047,-0.008053691,-0.04700503,-0.053198926
"February 11, 2022","4,418.64",22.05,101.51,252.18,-0.075238482,-0.013422819,-0.071696388,-0.072219565
"February 14, 2022","4,401.67",21.5,98.21,244.66,-0.078790073,-0.03803132,-0.101874714,-0.09988595
"February 15, 2022","4,471.07",22.04,99.98,250.2,-0.064265593,-0.013870246,-0.085688157,-0.079504065
"February 16, 2022","4,475.01",23.12,101.65,252.5,-0.063441004,0.034451902,-0.070416095,-0.071042272
"February 17, 2022","4,380.26",22.8,99.8,245.1,-0.083270896,0.020134228,-0.087334248,-0.098267172
"February 18, 2022","4,348.87",22.62,99.69,242.66,-0.089840398,0.012080537,-0.088340192,-0.107244031
"February 22, 2022","4,304.76",22.68,99.17,245.13,-0.099072024,0.014765101,-0.093095565,-0.098156801
"February 23, 2022","4,225.50",22.12,96.05,234.77,-0.115660069,-0.010290828,-0.121627801,-0.13627166
"February 24, 2022","4,288.70",22.45,93.84,234.51,-0.102433164,0.004474273,-0.141838134,-0.137228211
"February 25, 2022","4,384.65",23.12,98.63,243.91,-0.082352129,0.034451902,-0.098033836,-0.10264523
"February 28, 2022","4,373.94",21.92,96.85,246.22,-0.084593587,-0.019239374,-0.114311843,-0.094146647
"March 1, 2022","4,306.26",21.33,95.54,245.76,-0.098758094,-0.045637584,-0.126291724,-0.095839005
"March 2, 2022","4,386.54",21.82,97.99,247,-0.081956577,-0.023713647,-0.103886603,-0.091276995
"March 3, 2022","4,363.49",21.11,95.39,239.55,-0.08678063,-0.055480984,-0.127663466,-0.118685847
"March 4, 2022","4,328.87",19.9,89.71,223.35,-0.094026127,-0.109619687,-0.179606767,-0.178286303
"March 7, 2022","4,201.09",18.89,86.46,213.63,-0.120768751,-0.154809843,-0.209327846,-0.214046577
"March 8, 2022","4,170.70",18.74,84.85,212.53,-0.127128967,-0.161521253,-0.224051212,-0.218093521
"March 9, 2022","4,277.88",19.6,87.77,221.55,-0.104697644,-0.123042506,-0.197347965,-0.184908576
"March 10, 2022","4,259.52",19.49,87.88,218.84,-0.108540143,-0.127964206,-0.196342021,-0.194878776
"March 11, 2022","4,204.31",19.63,87.57,223.6,-0.120094849,-0.121700224,-0.199176955,-0.177366543
"March 14, 2022","4,173.11",19.64,87.4,223.24,-0.126624586,-0.121252796,-0.200731596,-0.178690997
"March 15, 2022","4,262.45",20,87.57,223.68,-0.107926934,-0.105145414,-0.199176955,-0.17707222
"March 16, 2022","4,357.86",20.61,90.97,237.49,-0.087958913,-0.077852349,-0.168084134,-0.12626467
"March 17, 2022","4,411.67",20.51,91.05,236.36,-0.076697209,-0.082326622,-0.167352538,-0.130421986
"March 18, 2022","4,463.12",20.53,91.09,233.89,-0.06592942,-0.081431767,-0.16698674,-0.139509216
"March 21, 2022","4,461.18",20.12,90.27,229.36,-0.066335436,-0.099776286,-0.174485597,-0.156175269
"March 22, 2022","4,511.61",20.23,91.58,234.14,-0.05578112,-0.094854586,-0.162505716,-0.138589456
"March 23, 2022","4,456.24",19.76,89.33,227.41,-0.067369311,-0.115883669,-0.183081847,-0.163349398
"March 24, 2022","4,520.16",19.93,90.06,231.34,-0.053991721,-0.108277405,-0.176406036,-0.148890769
"March 25, 2022","4,543.06",20.13,90.24,235.13,-0.049199061,-0.099328859,-0.174759945,-0.134947206
"March 28, 2022","4,575.52",20.32,89.7,237.27,-0.042405622,-0.09082774,-0.179698217,-0.127074059
"March 29, 2022","4,631.60",21.09,93.35,246.06,-0.030668838,-0.056375839,-0.146319159,-0.094735293
"March 30, 2022","4,602.45",20.76,92.77,243.22,-0.036769538,-0.07114094,-0.151623228,-0.105183768
"March 31, 2022","4,530.41",20.51,91.52,239.46,-0.051846534,-0.082326622,-0.163054412,-0.11901696
"April 1, 2022","4,545.86",20.59,91.73,236.61,-0.048613059,-0.078747204,-0.161133973,-0.129502226
"April 4, 2022","4,582.64",20.5,92.25,238.48,-0.040915503,-0.082774049,-0.156378601,-0.12262242
"April 5, 2022","4,525.12",20.34,90.92,229.47,-0.05295366,-0.089932886,-0.168541381,-0.155770575
"April 6, 2022","4,481.15",19.68,89,228.38,-0.062155985,-0.119463087,-0.18609968,-0.159780729
"April 7, 2022","4,500.21",18.8,86.77,220.84,-0.058166985,-0.158836689,-0.206492913,-0.187520695
"April 8, 2022","4,488.28",18.76,86.44,220.16,-0.060663773,-0.160626398,-0.209510745,-0.190022442
"April 11, 2022","4,412.53",18.99,86.63,224.48,-0.076517222,-0.15033557,-0.207773205,-0.174128987
"April 12, 2022","4,397.45",18.82,85.93,222.43,-0.079673262,-0.157941834,-0.214174668,-0.18167102
"April 13, 2022","4,446.59",19.05,86.4,225.99,-0.069388925,-0.147651007,-0.209876543,-0.168573636
"April 14, 2022","4,392.59",18.7,85.56,224.9,-0.080690394,-0.163310962,-0.217558299,-0.17258379
"April 18, 2022","4,391.69",18.66,85.64,225.5,-0.080878752,-0.165100671,-0.216826703,-0.170376366
"April 19, 2022","4,462.21",19.07,86.46,230.77,-0.066119871,-0.146756152,-0.209327846,-0.150987822
"April 20, 2022","4,459.45",19.09,87.63,232.38,-0.066697502,-0.145861298,-0.198628258,-0.145064567
"April 21, 2022","4,393.66",18.71,86.54,229.05,-0.080466458,-0.162863535,-0.208596251,-0.157315772
"April 22, 2022","4,271.78",18.34,84.57,224.21,-0.105974291,-0.179418345,-0.226611797,-0.175122328
"April 25, 2022","4,296.12",18.29,84.66,224.13,-0.100880259,-0.181655481,-0.225788752,-0.175416651
"April 26, 2022","4,175.20",17.75,82.64,218.05,-0.126187177,-0.205816555,-0.244261545,-0.197785218
"April 27, 2022","4,183.96",17.76,82.93,219.04,-0.124353828,-0.205369128,-0.241609511,-0.194142968
"April 28, 2022","4,287.50",18.2,85.61,225.25,-0.102684308,-0.185682327,-0.217101052,-0.171296126
"April 29, 2022","4,131.93",17.9,83.04,218.73,-0.135243003,-0.199105145,-0.240603567,-0.19528347
"May 2, 2022","4,155.38",17.81,82.44,215.89,-0.130335235,-0.203131991,-0.246090535,-0.205731945
"May 3, 2022","4,175.48",18.28,83.58,218.85,-0.126128577,-0.182102908,-0.235665295,-0.194841985
"May 4, 2022","4,300.17",18.74,85.57,221.25,-0.100032649,-0.161521253,-0.21746685,-0.186012288
"May 5, 2022","4,146.87",18.19,81.77,209.68,-0.132116263,-0.186129754,-0.25221765,-0.228578787
"May 6, 2022","4,123.34",18.22,81.22,201.89,-0.137040773,-0.184787472,-0.257247371,-0.257238512
"May 9, 2022","3,991.24",17.59,79.51,195.59,-0.164687514,-0.212975391,-0.272885231,-0.280416467
"May 10, 2022","4,001.05",17.62,78.54,193.74,-0.162634414,-0.21163311,-0.28175583,-0.287222692
"May 11, 2022","3,935.18",17.44,78.09,190.62,-0.176420113,-0.219686801,-0.285871056,-0.298701299
"May 12, 2022","3,930.08",17.63,78.33,189.25,-0.177487474,-0.211185682,-0.283676269,-0.303741584
"May 13, 2022","4,023.89",18.2,80.8,194.07,-0.157854312,-0.185682327,-0.261088249,-0.286008609
"May 16, 2022","4,008.01",18.22,79.83,192.28,-0.16117778,-0.184787472,-0.269958848,-0.292594091
"May 17, 2022","4,088.85",18.74,82.65,198.83,-0.144259063,-0.161521253,-0.244170096,-0.268496376
"May 18, 2022","3,923.68",17.86,79.01,187.65,-0.178826908,-0.200894855,-0.277457705,-0.309628049
"May 19, 2022","3,900.79",18.08,79.91,188.78,-0.183617475,-0.191051454,-0.269227252,-0.305470733
"May 20, 2022","3,901.36",17.66,78.97,186.59,-0.183498181,-0.2098434,-0.277823503,-0.313527832
"May 23, 2022","3,973.75",17.97,80.27,189.71,-0.168347935,-0.195973154,-0.265935071,-0.302049226
"May 24, 2022","3,941.48",17.59,78.82,186.92,-0.175101609,-0.212975391,-0.279195245,-0.312313749
"May 25, 2022","3,978.73",17.87,79.28,188.59,-0.167305688,-0.200447427,-0.274988569,-0.306169751
